Model,Accuracy,Precision,Recall,F1
base:gpt-4-0125-preview,0.829,0.83,0.829,0.829
ft:gpt-4,0.867,0.8676,0.867,0.8671
ft:bert-adamw,0.801,0.8159,0.801,0.802
ft:bert-adam,0.833,0.8339,0.833,0.8332
base:gpt-4-0125-preview,0.829,0.83,0.829,0.829
ft:gpt-4,0.867,0.8676,0.867,0.8671
ft:bert-adamw,0.801,0.8159,0.801,0.802
ft:bert-adam,0.833,0.8339,0.833,0.8332
base:gpt-4-0125-preview,0.829,0.83,0.829,0.829,0.229
base:gpt-4-0125-preview,0.829,0.83,0.829,0.829,0.229
ft:gpt-4,0.867,0.8676,0.867,0.8671,0.183
ft:bert-adamw,0.801,0.8159,0.801,0.802,0.27
ft:bert-adam,0.833,0.8339,0.833,0.8332,0.227
